Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;68,00;0,00;0,00
2019-01-13;0,00;34,00;0,00
2019-01-20;0,00;0,00;33,00
2019-01-27;33,00;0,00;0,00
2019-02-03;0,00;35,00;0,00
2019-02-10;35,00;0,00;0,00
2019-02-17;35,00;0,00;0,00
2019-02-24;0,00;0,00;0,00
2019-03-03;0,00;0,00;0,00
2019-03-10;0,00;0,00;0,00
2019-03-17;0,00;35,00;0,00
2019-03-24;0,00;36,00;0,00
2019-03-31;0,00;34,00;0,00
2019-04-07;0,00;0,00;0,00
2019-04-14;0,00;0,00;0,00
2019-04-21;0,00;0,00;0,00
2019-04-28;0,00;0,00;0,00
2019-05-05;0,00;0,00;0,00
2019-05-12;34,00;0,00;0,00
2019-05-19;66,00;33,00;0,00
2019-05-26;0,00;0,00;0,00
2019-06-02;0,00;0,00;0,00
2019-06-09;0,00;0,00;0,00
2019-06-16;34,00;0,00;0,00
2019-06-23;0,00;0,00;36,00
2019-06-30;0,00;0,00;36,00
2019-07-07;0,00;0,00;0,00
2019-07-14;0,00;0,00;0,00
2019-07-21;0,00;0,00;39,00
2019-07-28;0,00;0,00;0,00
2019-08-04;37,00;0,00;0,00
2019-08-11;72,00;0,00;0,00
2019-08-18;37,00;37,00;0,00
2019-08-25;0,00;0,00;0,00
2019-09-01;0,00;0,00;0,00
2019-09-08;69,00;0,00;0,00
2019-09-15;0,00;0,00;0,00
2019-09-22;0,00;0,00;0,00
2019-09-29;32,00;0,00;0,00
2019-10-06;0,00;0,00;0,00
2019-10-13;0,00;0,00;0,00
2019-10-20;0,00;0,00;0,00
2019-10-27;0,00;0,00;0,00
2019-11-03;0,00;0,00;0,00
2019-11-10;0,00;0,00;0,00
2019-11-17;0,00;0,00;0,00
2019-11-24;93,00;0,00;0,00
2019-12-01;32,00;0,00;0,00
2019-12-08;31,00;32,00;0,00
2019-12-15;0,00;31,00;0,00
2019-12-22;35,00;0,00;0,00
2019-12-29;0,00;0,00;0,00
2020-01-05;30,00;0,00;0,00
2020-01-12;30,00;0,00;0,00
2020-01-19;0,00;31,00;0,00
2020-01-26;31,00;0,00;0,00
2020-02-02;0,00;0,00;0,00
2020-02-09;0,00;0,00;0,00
2020-02-16;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00
2020-03-01;0,00;0,00;30,00
2020-03-08;0,00;0,00;0,00
2020-03-15;29,00;0,00;29,00
2020-03-22;0,00;0,00;0,00
2020-03-29;56,00;0,00;0,00
2020-04-05;0,00;0,00;0,00
2020-04-12;28,00;28,00;0,00
2020-04-19;0,00;0,00;0,00
2020-04-26;27,00;0,00;0,00
2020-05-03;0,00;28,00;0,00
2020-05-10;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00
2020-05-24;0,00;0,00;0,00
2020-05-31;0,00;26,00;26,00
2020-06-07;0,00;0,00;26,00
2020-06-14;0,00;27,00;0,00
2020-06-21;28,00;0,00;0,00
2020-06-28;28,00;0,00;0,00
2020-07-05;0,00;0,00;0,00
2020-07-12;31,00;31,00;0,00
2020-07-19;33,00;0,00;0,00
2020-07-26;31,00;0,00;0,00
2020-08-02;31,00;0,00;0,00
2020-08-09;0,00;0,00;0,00
2020-08-16;0,00;0,00;0,00
2020-08-23;29,00;0,00;0,00
2020-08-30;29,00;0,00;0,00
2020-09-06;0,00;0,00;0,00
2020-09-13;60,00;0,00;0,00
2020-09-20;0,00;0,00;0,00
2020-09-27;29,00;0,00;0,00
2020-10-04;0,00;0,00;0,00
2020-10-11;0,00;31,00;0,00
2020-10-18;0,00;0,00;0,00
2020-10-25;0,00;0,00;0,00
2020-11-01;57,00;29,00;0,00
2020-11-08;30,00;0,00;0,00
2020-11-15;0,00;0,00;29,00
2020-11-22;0,00;29,00;0,00
2020-11-29;29,00;0,00;0,00
2020-12-06;30,00;0,00;0,00
2020-12-13;0,00;0,00;0,00
2020-12-20;0,00;0,00;0,00
2020-12-27;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00
2021-01-10;59,00;0,00;0,00
2021-01-17;87,00;0,00;0,00
2021-01-24;0,00;0,00;0,00
2021-01-31;59,00;0,00;0,00
2021-02-07;0,00;0,00;0,00
2021-02-14;0,00;0,00;0,00
2021-02-21;0,00;0,00;0,00
2021-02-28;31,00;0,00;0,00
2021-03-07;0,00;0,00;0,00
2021-03-14;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00
2021-03-28;0,00;0,00;0,00
2021-04-04;0,00;0,00;0,00
2021-04-11;0,00;0,00;0,00
2021-04-18;0,00;0,00;0,00
2021-04-25;60,00;0,00;0,00
2021-05-02;0,00;0,00;0,00
2021-05-09;31,00;0,00;0,00
2021-05-16;0,00;0,00;0,00
2021-05-23;0,00;0,00;0,00
2021-05-30;31,00;0,00;0,00
2021-06-06;0,00;0,00;0,00
2021-06-13;0,00;0,00;30,00
2021-06-20;0,00;0,00;0,00
2021-06-27;0,00;0,00;0,00
2021-07-04;0,00;33,00;0,00
2021-07-11;100,00;0,00;0,00
2021-07-18;37,00;0,00;0,00
2021-07-25;0,00;0,00;0,00
2021-08-01;34,00;0,00;0,00
2021-08-08;0,00;0,00;0,00
2021-08-15;34,00;0,00;34,00
2021-08-22;0,00;0,00;0,00
2021-08-29;0,00;0,00;0,00
2021-09-05;0,00;0,00;0,00
2021-09-12;0,00;0,00;0,00
2021-09-19;0,00;0,00;0,00
2021-09-26;0,00;0,00;70,00
2021-10-03;0,00;0,00;34,00
2021-10-10;0,00;0,00;0,00
2021-10-17;0,00;0,00;0,00
2021-10-24;0,00;35,00;0,00
2021-10-31;0,00;0,00;0,00
2021-11-07;0,00;0,00;0,00
