Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;6,00;2,00;23,00;1,00;0,00
2019-01-13;4,00;0,50;18,00;1,00;1,00
2019-01-20;5,00;1,00;14,00;1,00;0,00
2019-01-27;8,00;0,50;19,00;1,00;3,00
2019-02-03;2,00;0,00;11,00;0,50;4,00
2019-02-10;3,00;2,00;15,00;1,00;2,00
2019-02-17;4,00;3,00;7,00;0,00;0,00
2019-02-24;8,00;0,00;10,00;2,00;2,00
2019-03-03;4,00;0,00;14,00;1,00;10,00
2019-03-10;5,00;1,00;9,00;1,00;2,00
2019-03-17;4,00;1,00;12,00;1,00;1,00
2019-03-24;7,00;2,00;13,00;1,00;1,00
2019-03-31;6,00;0,00;22,00;1,00;2,00
2019-04-07;6,00;2,00;8,00;0,00;1,00
2019-04-14;4,00;1,00;18,00;0,00;1,00
2019-04-21;8,00;2,00;10,00;1,00;2,00
2019-04-28;4,00;2,00;18,00;1,00;0,00
2019-05-05;7,00;1,00;17,00;0,00;1,00
2019-05-12;5,00;0,00;16,00;2,00;1,00
2019-05-19;8,00;2,00;12,00;0,00;1,00
2019-05-26;4,00;1,00;15,00;0,00;1,00
2019-06-02;3,00;1,00;13,00;0,50;2,00
2019-06-09;7,00;1,00;18,00;2,00;0,00
2019-06-16;6,00;3,00;15,00;2,00;1,00
2019-06-23;4,00;2,00;14,00;0,00;1,00
2019-06-30;6,00;1,00;12,00;0,00;1,00
2019-07-07;5,00;1,00;14,00;1,00;1,00
2019-07-14;4,00;1,00;15,00;0,00;0,00
2019-07-21;5,00;1,00;18,00;1,00;1,00
2019-07-28;6,00;1,00;16,00;0,00;0,00
2019-08-04;8,00;1,00;14,00;1,00;1,00
2019-08-11;9,00;1,00;16,00;1,00;0,00
2019-08-18;7,00;1,00;8,00;0,00;1,00
2019-08-25;6,00;2,00;12,00;1,00;1,00
2019-09-01;5,00;0,00;14,00;1,00;2,00
2019-09-08;6,00;0,00;14,00;0,00;1,00
2019-09-15;6,00;3,00;31,00;1,00;1,00
2019-09-22;6,00;3,00;29,00;1,00;4,00
2019-09-29;5,00;2,00;23,00;1,00;1,00
2019-10-06;8,00;2,00;100,00;1,00;2,00
2019-10-13;6,00;1,00;26,00;0,50;2,00
2019-10-20;6,00;1,00;17,00;1,00;0,50
2019-10-27;6,00;1,00;11,00;0,00;2,00
2019-11-03;4,00;0,50;13,00;0,00;2,00
2019-11-10;5,00;1,00;23,00;0,00;1,00
2019-11-17;4,00;2,00;10,00;2,00;1,00
2019-11-24;4,00;1,00;13,00;1,00;1,00
2019-12-01;6,00;3,00;14,00;1,00;0,50
2019-12-08;8,00;1,00;14,00;0,00;1,00
2019-12-15;4,00;2,00;11,00;0,00;1,00
2019-12-22;6,00;2,00;23,00;1,00;1,00
2019-12-29;5,00;2,00;20,00;0,00;2,00
2020-01-05;4,00;1,00;16,00;0,00;2,00
2020-01-12;4,00;2,00;20,00;3,00;3,00
2020-01-19;7,00;1,00;18,00;1,00;2,00
2020-01-26;4,00;3,00;17,00;0,50;1,00
2020-02-02;8,00;3,00;18,00;0,00;0,50
2020-02-09;4,00;0,00;14,00;1,00;0,00
2020-02-16;6,00;1,00;12,00;1,00;3,00
2020-02-23;7,00;1,00;12,00;1,00;1,00
2020-03-01;7,00;0,50;16,00;2,00;1,00
2020-03-08;3,00;0,00;15,00;0,00;1,00
2020-03-15;6,00;2,00;10,00;1,00;0,50
2020-03-22;5,00;2,00;12,00;1,00;1,00
2020-03-29;4,00;2,00;12,00;1,00;1,00
2020-04-05;8,00;1,00;14,00;1,00;2,00
2020-04-12;5,00;1,00;14,00;1,00;1,00
2020-04-19;5,00;0,50;11,00;2,00;1,00
2020-04-26;6,00;1,00;11,00;1,00;2,00
2020-05-03;7,00;0,50;9,00;1,00;0,50
2020-05-10;3,00;2,00;6,00;1,00;0,00
2020-05-17;6,00;1,00;12,00;2,00;1,00
2020-05-24;5,00;0,50;7,00;0,50;1,00
2020-05-31;5,00;1,00;11,00;1,00;1,00
2020-06-07;7,00;1,00;10,00;1,00;0,50
2020-06-14;9,00;0,50;12,00;0,00;0,00
2020-06-21;8,00;1,00;9,00;0,50;1,00
2020-06-28;5,00;3,00;16,00;2,00;0,00
2020-07-05;6,00;2,00;15,00;0,50;1,00
2020-07-12;6,00;1,00;9,00;1,00;3,00
2020-07-19;4,00;3,00;7,00;1,00;4,00
2020-07-26;6,00;2,00;10,00;0,50;1,00
2020-08-02;6,00;0,00;11,00;1,00;3,00
2020-08-09;7,00;3,00;12,00;0,50;0,50
2020-08-16;3,00;1,00;15,00;2,00;1,00
2020-08-23;3,00;1,00;10,00;1,00;0,50
2020-08-30;7,00;2,00;9,00;1,00;0,50
2020-09-06;6,00;1,00;11,00;1,00;1,00
2020-09-13;7,00;2,00;10,00;1,00;0,00
2020-09-20;6,00;2,00;9,00;0,50;1,00
2020-09-27;3,00;2,00;8,00;0,50;1,00
2020-10-04;5,00;5,00;11,00;1,00;1,00
2020-10-11;5,00;1,00;10,00;1,00;0,00
2020-10-18;5,00;2,00;10,00;0,00;0,00
2020-10-25;8,00;0,50;8,00;1,00;0,00
2020-11-01;5,00;3,00;7,00;1,00;1,00
2020-11-08;6,00;1,00;18,00;1,00;0,00
2020-11-15;3,00;2,00;14,00;2,00;1,00
2020-11-22;4,00;2,00;13,00;0,50;0,50
2020-11-29;4,00;1,00;8,00;0,50;0,00
2020-12-06;2,00;1,00;11,00;0,00;0,50
2020-12-13;4,00;1,00;14,00;0,50;0,50
2020-12-20;5,00;1,00;13,00;1,00;1,00
2020-12-27;4,00;1,00;9,00;2,00;2,00
2021-01-03;6,00;1,00;16,00;1,00;0,50
2021-01-10;4,00;2,00;11,00;0,50;0,50
2021-01-17;5,00;0,50;13,00;1,00;2,00
2021-01-24;3,00;0,00;5,00;0,00;0,50
2021-01-31;5,00;1,00;9,00;0,00;0,50
2021-02-07;3,00;2,00;11,00;0,50;0,50
2021-02-14;7,00;0,50;12,00;0,50;1,00
2021-02-21;5,00;2,00;10,00;1,00;0,50
2021-02-28;5,00;0,00;9,00;1,00;1,00
2021-03-07;7,00;1,00;12,00;0,50;0,50
2021-03-14;5,00;1,00;12,00;1,00;0,50
2021-03-21;3,00;1,00;9,00;0,50;0,00
2021-03-28;5,00;0,00;12,00;0,50;0,00
2021-04-04;7,00;1,00;10,00;1,00;0,50
2021-04-11;2,00;1,00;5,00;1,00;0,00
2021-04-18;2,00;1,00;7,00;0,50;0,00
2021-04-25;2,00;0,50;8,00;0,00;0,00
2021-05-02;1,00;0,00;10,00;0,00;0,00
2021-05-09;7,00;1,00;6,00;0,00;1,00
2021-05-16;3,00;0,50;8,00;0,00;0,00
2021-05-23;4,00;1,00;5,00;0,00;1,00
2021-05-30;3,00;1,00;7,00;0,00;0,00
2021-06-06;1,00;1,00;5,00;0,50;0,00
2021-06-13;4,00;0,00;8,00;0,50;1,00
2021-06-20;3,00;1,00;7,00;1,00;0,00
2021-06-27;3,00;1,00;9,00;0,00;0,00
2021-07-04;2,00;1,00;7,00;0,00;0,00
2021-07-11;3,00;1,00;8,00;0,50;0,00
2021-07-18;5,00;0,00;11,00;0,00;1,00
2021-07-25;7,00;0,50;38,00;0,00;1,00
2021-08-01;4,00;0,50;11,00;0,50;0,50
2021-08-08;4,00;0,50;5,00;0,50;1,00
2021-08-15;4,00;2,00;8,00;0,00;0,00
2021-08-22;4,00;1,00;9,00;0,00;0,00
2021-08-29;7,00;1,00;5,00;1,00;1,00
2021-09-05;4,00;2,00;6,00;1,00;1,00
2021-09-12;3,00;1,00;10,00;2,00;1,00
2021-09-19;5,00;2,00;7,00;0,00;1,00
2021-09-26;1,00;1,00;4,00;1,00;1,00
2021-10-03;2,00;1,00;7,00;0,00;0,00
2021-10-10;2,00;3,00;13,00;1,00;1,00
2021-10-17;2,00;2,00;6,00;1,00;2,00
2021-10-24;3,00;1,00;9,00;0,00;1,00
2021-10-31;3,00;1,00;12,00;1,00;1,00
2021-11-07;1,00;1,00;15,00;0,00;0,00
