Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;19,00;13,00;0,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-01-13;30,00;7,00;3,00;0,00;3,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;23,00;7,00;7,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;16,00;6,00;6,00;3,00;3,00;3,00;0,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;13,00;0,00;3,00;7,00;10,00;3,00;0,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00
2019-02-10;20,00;17,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;20,00;0,00;3,00;10,00;3,00;0,00;7,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;27,00;27,00;0,00;3,00;7,00;0,00;0,00;10,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;10,00;3,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-03-10;30,00;13,00;3,00;3,00;10,00;0,00;3,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;27,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;34,00;0,00;3,00;10,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;14,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;40,00;20,00;7,00;10,00;3,00;10,00;17,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2019-04-07;57,00;3,00;3,00;0,00;22,00;10,00;9,00;13,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-04-14;49,00;4,00;4,00;7,00;7,00;11,00;15,00;15,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;34,00;19,00;11,00;15,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-04-28;29,00;16,00;6,00;3,00;3,00;3,00;6,00;3,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00
2019-05-05;49,00;0,00;3,00;10,00;0,00;0,00;10,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-05-12;40,00;7,00;7,00;0,00;17,00;0,00;10,00;20,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;40,00;13,00;0,00;3,00;13,00;3,00;3,00;7,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-05-26;43,00;4,00;11,00;4,00;11,00;0,00;7,00;18,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-06-02;67,00;24,00;7,00;13,00;7,00;3,00;13,00;10,00;0,00;0,00;3,00;13,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-09;57,00;17,00;17,00;7,00;17,00;7,00;17,00;17,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-16;64,00;3,00;3,00;7,00;0,00;0,00;14,00;7,00;0,00;0,00;0,00;14,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;65,00;14,00;14,00;4,00;11,00;4,00;11,00;11,00;4,00;0,00;4,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;60,00;25,00;4,00;7,00;18,00;0,00;4,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00
2019-07-07;71,00;25,00;4,00;7,00;11,00;4,00;11,00;14,00;0,00;7,00;0,00;18,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00
2019-07-14;72,00;23,00;4,00;15,00;23,00;19,00;8,00;8,00;0,00;4,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00
2019-07-21;57,00;16,00;4,00;16,00;21,00;8,00;12,00;8,00;8,00;0,00;4,00;8,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-07-28;37,00;8,00;8,00;8,00;13,00;8,00;8,00;12,00;0,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;46,00;19,00;4,00;11,00;15,00;15,00;4,00;4,00;0,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-08-11;42,00;24,00;3,00;3,00;11,00;3,00;7,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;50,00;47,00;3,00;3,00;10,00;7,00;13,00;3,00;0,00;7,00;3,00;13,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00
2019-08-25;40,00;68,00;0,00;0,00;10,00;7,00;3,00;17,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00
2019-09-01;32,00;19,00;0,00;3,00;16,00;3,00;10,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;23,00;20,00;3,00;0,00;3,00;7,00;17,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;27,00;20,00;3,00;3,00;7,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;56,00;10,00;0,00;3,00;3,00;0,00;3,00;10,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00
2019-09-29;40,00;20,00;7,00;0,00;7,00;3,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-10-06;23,00;13,00;0,00;3,00;7,00;3,00;17,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;26,00;7,00;0,00;0,00;3,00;13,00;7,00;0,00;3,00;0,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;19,00;10,00;0,00;6,00;10,00;10,00;3,00;13,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;26,00;3,00;0,00;6,00;6,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;16,00;6,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;29,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;9,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;34,00;9,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;38,00;10,00;6,00;6,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-12-08;6,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;35,00;3,00;0,00;3,00;3,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;23,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;33,00;18,00;0,00;11,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-01-05;19,00;9,00;0,00;9,00;9,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;33,00;9,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;9,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-01-19;18,00;6,00;0,00;12,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;15,00;0,00;9,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-02-02;24,00;9,00;3,00;0,00;0,00;3,00;6,00;3,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;33,00;3,00;6,00;6,00;0,00;0,00;9,00;0,00;0,00;3,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;40,00;12,00;3,00;3,00;0,00;3,00;9,00;9,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;23,00;6,00;6,00;3,00;6,00;6,00;3,00;6,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;23,00;0,00;3,00;3,00;9,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-03-08;22,00;8,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;20,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;5,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;3,00;6,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-04-05;12,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;3,00;6,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;6,00;3,00;3,00;3,00;3,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;13,00;5,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;8,00;3,00;0,00;3,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;6,00;3,00;0,00;3,00;3,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;6,00;12,00;3,00;0,00;3,00;12,00;3,00;9,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-05-24;3,00;3,00;3,00;6,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;20,00;6,00;3,00;0,00;11,00;6,00;9,00;11,00;0,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-06-07;28,00;11,00;8,00;0,00;17,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-06-14;28,00;11,00;6,00;0,00;9,00;6,00;14,00;6,00;0,00;3,00;0,00;9,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-06-21;61,00;34,00;6,00;6,00;12,00;6,00;9,00;12,00;0,00;3,00;0,00;6,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-06-28;42,00;21,00;6,00;21,00;12,00;6,00;15,00;15,00;0,00;3,00;0,00;0,00;3,00;12,00;3,00;0,00;0,00;9,00;3,00;0,00;0,00
2020-07-05;88,00;19,00;9,00;9,00;6,00;0,00;28,00;13,00;0,00;0,00;0,00;6,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;99,00;29,00;10,00;6,00;10,00;19,00;32,00;32,00;3,00;6,00;0,00;10,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-07-19;85,00;20,00;16,00;20,00;33,00;7,00;29,00;7,00;0,00;3,00;0,00;0,00;7,00;13,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-07-26;93,00;10,00;17,00;13,00;17,00;7,00;27,00;23,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-08-02;100,00;16,00;6,00;6,00;10,00;3,00;26,00;19,00;3,00;3,00;3,00;3,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;58,00;18,00;0,00;12,00;9,00;0,00;9,00;21,00;3,00;0,00;0,00;3,00;3,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-08-16;33,00;24,00;3,00;3,00;18,00;3,00;6,00;18,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-08-23;27,00;15,00;3,00;9,00;21,00;3,00;0,00;12,00;0,00;3,00;0,00;6,00;3,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;35,00;9,00;3,00;3,00;15,00;6,00;12,00;27,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;21,00;9,00;6,00;6,00;9,00;9,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;18,00;3,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;6,00;9,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-09-27;9,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-10-04;16,00;12,00;6,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;10,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;9,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;36,00;6,00;0,00;9,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;14,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;3,00;0,00;0,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;15,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;6,00;6,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;3,00;6,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;6,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-12-20;7,00;18,00;4,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;3,00;7,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-01-03;6,00;3,00;3,00;3,00;6,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;9,00;6,00;3,00;6,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;21,00;3,00;0,00;3,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-01-24;12,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;12,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2021-02-07;12,00;0,00;0,00;9,00;0,00;0,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00
2021-02-14;0,00;9,00;0,00;6,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;18,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2021-03-07;9,00;3,00;6,00;0,00;3,00;3,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2021-03-14;9,00;9,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2021-03-21;15,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;3,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;16,00;3,00;0,00;6,00;0,00;10,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;6,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-04-18;6,00;0,00;3,00;3,00;3,00;0,00;9,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2021-04-25;3,00;6,00;0,00;3,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;9,00;6,00;3,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;22,00;6,00;3,00;3,00;3,00;3,00;3,00;16,00;0,00;3,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-05-16;18,00;9,00;0,00;12,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;16,00;6,00;0,00;13,00;6,00;0,00;13,00;13,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;25,00;25,00;6,00;0,00;6,00;0,00;6,00;19,00;0,00;3,00;3,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;22,00;12,00;0,00;0,00;15,00;6,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;56,00;13,00;3,00;0,00;9,00;3,00;12,00;9,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00
2021-06-20;16,00;16,00;0,00;12,00;3,00;12,00;6,00;3,00;0,00;6,00;0,00;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;44,00;22,00;0,00;6,00;9,00;13,00;9,00;0,00;3,00;0,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-07-04;49,00;23,00;7,00;0,00;23,00;7,00;7,00;16,00;0,00;0,00;0,00;3,00;10,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-07-11;80,00;33,00;17,00;17,00;10,00;0,00;20,00;23,00;3,00;0,00;3,00;10,00;3,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00
2021-07-18;73,00;18,00;22,00;4,00;18,00;7,00;22,00;15,00;0,00;4,00;0,00;18,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;86,00;25,00;4,00;7,00;14,00;11,00;14,00;22,00;0,00;7,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00
2021-08-01;78,00;14,00;11,00;0,00;11,00;14,00;18,00;11,00;0,00;4,00;0,00;4,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2021-08-08;33,00;25,00;0,00;15,00;15,00;7,00;0,00;7,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-08-15;30,00;17,00;3,00;0,00;20,00;0,00;17,00;7,00;0,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;21,00;25,00;4,00;0,00;0,00;0,00;14,00;3,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-08-29;37,00;14,00;7,00;0,00;3,00;3,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2021-09-05;52,00;14,00;7,00;10,00;7,00;3,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2021-09-12;43,00;10,00;0,00;20,00;7,00;7,00;3,00;10,00;0,00;0,00;0,00;7,00;7,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-09-19;44,00;7,00;3,00;3,00;3,00;10,00;14,00;10,00;0,00;3,00;0,00;3,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;37,00;20,00;0,00;0,00;7,00;3,00;3,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-10-03;24,00;10,00;0,00;3,00;3,00;3,00;7,00;3,00;0,00;0,00;3,00;7,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;32,00;4,00;7,00;7,00;7,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-17;28,00;14,00;0,00;10,00;3,00;0,00;7,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-10-24;7,00;10,00;0,00;3,00;7,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-31;13,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;30,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
